THREADS;GRANULATION;TIME;INTEGRAL
2;16777216;.52752643999999999062;1.76416253873955586328
4;16777216;.28047982400000000000;1.76416236332097997596
8;16777216;.16415615200000000000;1.76416194170150442133
2;33554432;1.05135017599999998750;1.76416266013232547749
4;33554432;.56005040800000000000;1.76416257242284779671
8;33554432;.32136649600000000000;1.76416236161313277897
2;67108864;2.13526367999999999375;1.76416272082857128467
4;67108864;1.11705726400000001875;1.76416267697357720400
8;67108864;.68291241600000000000;1.76416257156880584844
2;134217728;4.24784791200000000625;1.76416275117709897557
4;134217728;2.21784563200000000000;1.76416272924959405266
8;134217728;1.24046339199999997187;1.76416267654700242850
2;268435456;8.39516648000000009375;1.76416276635037183595
4;268435456;4.42060198399999992500;1.76416275538737177264
8;268435456;2.51614580799999998125;1.76416272903594117948
2;536870912;16.70702339199999963125;1.76416277393794862504
4;536870912;8.88986151999999996250;1.76416276845603614553
8;536870912;5.12943834399999998125;1.76416275528022747920
