GRANULATION;TIME;INTEGRAL
64;.00001604000000000000;1.76281068754796188535
128;.00002311600000000000;1.76354070736615797798
256;.00003194000000000000;1.76386442733829751361
512;.00004497600000000000;1.76401667874678813596
1024;.00008052000000000000;1.76409048696047299209
2048;.00015508400000000000;1.76412682199784898173
4096;.00027528000000000000;1.76414484851990738256
8192;.00056320400000000000;1.76415382668955156297
16384;.00117320400000000000;1.76415830702120146611
32768;.00227630400000000000;1.76416054500117946979
65536;.00433324400000000000;1.76416166344499747431
131072;.00872541200000000000;1.76416222253039611800
262144;.01697475200000000000;1.76416250203903413051
524288;.03367715600000000000;1.76416264178474491153
1048576;.06632597200000000000;1.76416271165551297173
2097152;.13124751600000000000;1.76416274659025740234
4194304;.26191978400000000000;1.76416276405772665114
8388608;.52562074399999999843;1.76416277279122102328
16777216;1.04223765199999999218;1.76416277715787095381
33554432;2.09437511199999998125;1.76416277934129128723
67108864;4.24848148000000000312;1.76416278043365437611
134217728;8.43019020800000001875;1.76416278097849321682
268435456;16.84154775199999981093;1.76416278125186098968
536870912;33.30796280799999963437;1.76416278138927484775
1073741824;67.01947099200000001718;1.76416278145671712174
