NUMBER OF THREADS;NUMBER OF PAIRS;TIME;PI
2;8192;.00066394600000000000;3.14333343505859375000
4;8192;.00258812800000000000;3.14496994018554687500
8;8192;.00596701200000000000;3.13997650146484375000
16;8192;.00359902000000000000;3.14317703247070312500
2;16384;.00079947200000000000;3.14130401611328125000
4;16384;.00240080800000000000;3.14150619506835937500
8;16384;.00612564800000000000;3.14033317565917968750
16;16384;.00353376800000000000;3.14265060424804687500
2;32768;.00084853600000000000;3.14077758789062500000
4;32768;.00224563200000000000;3.14117717742919921875
8;32768;.00597861600000000000;3.14162445068359375000
16;32768;.00431067200000000000;3.14217472076416015625
2;65536;.00192686200000000000;3.14078092575073242187
4;65536;.00197968800000000000;3.14182662963867187500
8;65536;.00618753000000000000;3.14145278930664062500
16;65536;.00555098600000000000;3.14106512069702148437
2;131072;.00280428000000000000;3.14191675186157226562
4;131072;.00284872200000000000;3.14163041114807128906
8;131072;.00524290000000000000;3.14118981361389160156
16;131072;.00876816200000000000;3.14183616638183593750
2;262144;.00569387200000000000;3.14118492603302001953
4;262144;.00774717200000000000;3.14110410213470458984
8;262144;.00736260800000000000;3.14167571067810058593
16;262144;.01935269200000000000;3.14185607433319091796
2;524288;.01253143600000000000;3.14184981584548950234
4;524288;.01096134800000000000;3.14189827442169189765
8;524288;.01120742000000000000;3.14147657155990600546
16;524288;.01952661000000000000;3.14171421527862548906
2;1048576;.02388708200000000000;3.14129137992858886718
4;1048576;.02202277400000000000;3.14139580726623535000
8;1048576;.03440444600000000078;3.14175942540168761718
16;1048576;.03291041400000000000;3.14169731736183166406
2;2097152;.04907451400000000000;3.14159694314002990078
4;2097152;.04511706600000000000;3.14165134727954864062
8;2097152;.04280247400000000000;3.14163227379322051953
16;2097152;.06630431600000000000;3.14166645705699920390
2;4194304;.09295482000000000000;3.14166378974914550312
4;4194304;.08825419600000000000;3.14155467599630355390
8;4194304;.08748622000000000000;3.14160550385713577343
16;4194304;.12696405600000000000;3.14169860631227493203
2;8388608;.18915374400000000000;3.14166457951068878125
4;8388608;.17930022200000000000;3.14162983000278472734
8;8388608;.18295463000000000000;3.14158084243535995703
16;8388608;.29903588400000000000;3.14164630323648452812
2;16777216;.37685211200000000000;3.14165782742202282187
4;16777216;.35421203200000000000;3.14162671752274036562
8;16777216;.34289410200000000000;3.14160474576056003671
16;16777216;.55035914799999999843;3.14160153456032276015
2;33554432;.76628499799999999843;3.14159352984279394218
4;33554432;.71381832599999999531;3.14157978724688291406
8;33554432;.69590104200000000468;3.14155923854559659921
16;33554432;1.05921665400000000156;3.14155988581478595703
